id,name,rank,supply,explorer,marketCapUsd
bitcoin,bitcoin,1,19847109.0,https://blockchain.info/,1640947393817.6824
ethereum,ethereum,2,120669506.10186836,https://etherscan.io/,215249874413.78348
tether,tether,3,144086679997.8651,https://www.omniexplorer.info/asset/31,144158095118.30664
xrp,xrp,4,58274974538.0,https://xrpcharts.ripple.com/#/graph/,123856459652.53728
binance-coin,bnb,5,144006830.0,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,85330156862.03966
solana,solana,6,514580874.08127975,https://explorer.solana.com/,60631972808.48112
usd-coin,usdc,7,60542738459.47311,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,60580848078.27862
dogecoin,dogecoin,8,148726896383.70526,http://dogechain.info/chain/Dogecoin,24928070555.01196
cardano,cardano,9,35274323538.58242,https://cardanoexplorer.com/,22865065662.874454
tron,tron,10,94979760468.11975,https://tronscan.org/#/,22589315819.804363
steth,lido staked eth,11,9370151.38268971,https://etherscan.io/token/0xae7ab96520de3a18e5e111b5eaab095312d7fe84,16756059889.451424
wrapped-bitcoin,wrapped bitcoin,12,129077.40552189,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,10656411369.05735
chainlink,chainlink,13,657099970.4527867,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca,8301534641.617059
unus-sed-leo,unus sed leo,14,923789528.9,https://eospark.com/account/bitfinexleo1,8287333804.12958
toncoin,toncoin,15,2473132255.316453,Sin datos,8008955118.083139
stellar,stellar,16,30779409432.828568,https://dashboard.stellar.org/,7740402090.25596
avalanche,avalanche,17,415273896.7471752,https://avascan.info/,7421393045.909735
sui,sui,18,3249982900.458888,https://suiexplorer.com/,7154162377.151512
shiba-inu,shiba inu,19,589250627619579.1,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,7147241252.32664
hedera-hashgraph,hedera,20,42219399509.40282,https://app.dragonglass.me/hedera/home,6773147434.836636
litecoin,litecoin,21,75558468.3040892,http://explorer.litecoin.net/chain/Litecoin,6214608667.269344
mantra-dao,mantra,22,974778351.8199997,https://etherscan.io/token/0x3593d125a4f7849a1b059e64f4517a86dd60c95d,6090681214.871244
weth,wrapped eth,23,3375317.5926469,https://etherscan.io/token/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6037505674.574191
polkadot,polkadot,24,1522267060.0,https://polkascan.io/polkadot,5957644230.707152
bitcoin-cash,bitcoin cash,25,19851893.75,https://blockchair.com/bitcoin-cash/blocks,5911180444.764046
bitcoin-bep2,bitcoin bep2,26,65207.71856383,https://explorer.binance.org/asset/BTCB-1DE,5392816778.6914215
