id,symbol,maxSupply,priceUsd,volumeUsd24Hr,changePercent24Hr,vwap24Hr,timestamp
bitcoin,BTC,21000000.0000000000000000,82679.4166252466498760,8513772398.2362256980061839,-0.6894597954155940,83662.2339597589667757,1743869821692
ethereum,ETH,,1783.7967633021638067,4763992153.6949347452918024,-0.8931995113489224,1806.5639674656228154,1743869821692
tether,USDT,,1.0004956399886694,20656337512.6898570076240130,0.0793197027716143,0.9996071452478294,1743869821692
xrp,XRP,100000000000.0000000000000000,2.1253799016552612,1162300559.7878099685008242,-0.2080418480644683,2.1327802981248607,1743869821692
binance-coin,BNB,144006830.0000000000000000,592.5424291475596266,229301763.6614661380635712,-0.4396357085324256,595.9240056839870449,1743869821692
solana,SOL,,117.8278786920170334,1860231056.5606473097828897,-1.2323337423488552,121.0473337320652560,1743869821692
usd-coin,USDC,,1.0006294663864772,4122822778.0595696403923047,0.0679581576485007,1.0000361824808921,1743869821692
dogecoin,DOGE,,0.1676097004720601,623195572.9593829573788789,-0.6455314304213677,0.1696651603321594,1743869821692
cardano,ADA,45000000000.0000000000000000,0.6482070630742234,227927980.3011178974050801,-1.5649538760188891,0.6584493018692923,1743869821692
tron,TRX,,0.2378329415495477,176642643.8344767791868480,-0.8830793462752332,0.2380715909542628,1743869821692
steth,STETH,,1788.2379062099615490,4216204.6050380796506072,-0.9321105963508119,1801.2048968583579830,1743869821692
wrapped-bitcoin,WBTC,,82558.3015553419181943,182777986.7465205508734214,-0.6268537507704208,83517.5575144928006460,1743869821692
chainlink,LINK,,12.6335946049377166,151668202.0974177161776610,-1.1642963395301786,12.8758232953477405,1743869821692
unus-sed-leo,LEO,,8.9710194204059666,3845428.6804465615551297,-5.2916620412428099,8.9346876588081552,1743869821692
toncoin,TON,,3.2383852909064678,83505107.1814736179075013,-5.0471288846660455,3.3415718095478397,1743869821692
stellar,XLM,50001806812.0000000000000000,0.2514798767386432,66971367.1159570357421341,-2.7429977853747760,0.2576783574574168,1743869821692
avalanche,AVAX,715748719.0000000000000000,17.8710800366727270,96981960.0624973036218827,-1.0037454457170638,18.0989385854654146,1743869821692
sui,SUI,10000000000.0000000000000000,2.2012923133045919,425654201.0593812944647326,-1.9112656389211816,2.2500401590298482,1743869821692
shiba-inu,SHIB,589552695333683.0000000000000000,0.0000121293740173,56112559.2866800257614546,-0.9313415359203170,0.0000122630618028,1743869821692
hedera-hashgraph,HBAR,50000000000.0000000000000000,0.1604273749400004,67447014.0931620435040454,-3.2792116020538739,0.1630219999438559,1743869821692
litecoin,LTC,84000000.0000000000000000,82.2490027492128535,142683014.0133622547442030,-2.6561550034615070,83.9784421256033139,1743869821692
mantra-dao,OM,888888888.0000000000000000,6.2482729571285509,21351668.0751213110497677,-0.9263191135812111,6.2449777445248738,1743869821692
weth,WETH,,1788.7222487527824865,304266013.3694966039128787,-1.0808308788707647,,1743869821692
polkadot,DOT,,3.9136656026092766,74264410.7232599010915448,-3.8540030885837536,4.0129549735235107,1743869821692
bitcoin-cash,BCH,21000000.0000000000000000,297.7640581399971288,50326305.1462755569086613,-0.5181835646455871,300.7245773738850196,1743869821692
bitcoin-bep2,BTCB,,82702.1232680076823405,2488513.6264652270180566,-0.7354378380572122,,1743869821692
multi-collateral-dai,DAI,,0.9998088288850279,48910932.9986060288580001,0.0120848213613963,1.0000866090013973,1743869821692
bitget-token-new,BGB,,4.4281307604661809,34391266.2739030963861910,-2.6092298816981547,4.4579887731529854,1743869821692
ethena-usde,USDE,,0.9990026248256170,38483826.8086545870000039,-0.0447060327997902,,1743869821692
pi,PI,100000000000.0000000000000000,0.6253500535808418,616324361.6737209107417884,19.3654518868140613,,1743869821692
monero,XMR,,216.2902177506933976,35545814.2764526740875391,0.0806077881745245,216.4991796694003989,1743869821692
hyperliquid,HYPE,1000000000.0000000000000000,11.5793767814389149,19449675.5633898698230748,0.3249085780824038,11.8771045558450088,1743869821692
uniswap,UNI,,5.7996037455663912,51979416.8548957890451487,-0.9393903887736709,5.8790131625235924,1743869821692
okb,OKB,,50.7531888734929254,9930430.7324586600436322,4.9092499868615300,50.4504018302410376,1743869821692
pepe,PEPE,420690000000000.0000000000000000,0.0000069941160924,397979808.5868431217432803,-1.6174805383238296,0.0000071667775663,1743869821692
near-protocol,NEAR,,2.4329972919395023,66838487.1917548368088475,-1.6984201561886573,2.4785149075263058,1743869821692
aptos,APT,,4.8074455142703557,52222148.0681732637715204,-0.9270776434674883,4.8654872609370834,1743869821692
ondo-finance,ONDO,,0.8032923509355095,86411993.9951881624986051,-2.1448411906732961,0.8145565800157639,1743869821692
mantle,MNT,6219316795.0000000000000000,0.7347734907996874,185994015.8437337800912271,0.7844154502088870,0.7360143862500346,1743869821692
crypto-com-coin,CRO,30263013692.0000000000000000,0.0917788262401183,15791638.1174897976581714,-3.3963979110792899,0.0939707193687422,1743869821692
ethereum-classic,ETC,210700000.0000000000000000,15.9208852452328779,27487333.7796232798921862,-1.2542076868915623,16.1416036492391285,1743869821692
internet-computer,ICP,,4.9891428601296947,33376880.4110255228463859,-2.7713924255618754,5.0613140970119066,1743869821692
aave,AAVE,,150.7750254452350505,87608470.7264716814627904,0.6097255077297172,152.2652398563810986,1743869821692
first-digital-usd,FDUSD,,0.9904429254580527,949369520.8173615605252740,-0.2692460873594036,0.9954563020431530,1743869821692
polygon-ecosystem-token,POL,,0.1884834194599697,21209548.9791381240436262,-1.3052718757090020,0.1898955972870207,1743869821692
cosmos,ATOM,,4.8834534758955887,86858515.9997160022875943,-3.5032918079654008,4.9735338879311616,1743869821692
gatetoken,GT,,22.1720795276852959,7142654.3739779831888568,0.6385761171853716,22.3917012665938521,1743869821692
vechain,VET,86712634466.0000000000000000,0.0215475961215840,14190817.5536799267394800,-2.3447397230509501,0.0220171524324217,1743869821692
bittensor,TAO,21000000.0000000000000000,214.5979479511942044,43102750.3251179288981700,-0.8396937393148506,218.1506880415140995,1743869821692
official-trump,TRUMP,999999993.4500000000000000,9.1709079536774711,50139210.6667041987723419,-1.9862469509071202,9.3216786132834478,1743869821692
ethena,ENA,,0.3174237535050119,111696706.9693745113356642,3.2954718847748286,0.3181119040936916,1743869821692
filecoin,FIL,,2.6784782453862206,90962677.6242098482646151,-3.1476891998765759,2.7425349560381062,1743869821692
kaspa,KAS,28704026601.0000000000000000,0.0640097356754538,32772280.6601589891239306,-1.8522840525275210,0.0649191412563727,1743869821692
render,RENDER,644168762.0000000000000000,3.1188637693505119,36736600.6212317727373361,-2.8490902604970884,3.2090048125533031,1743869821692
celestia,TIA,,2.6616496824553958,39761277.4355192622326645,-3.1988989020804103,2.7396610651181797,1743869821692
algorand,ALGO,10000000000.0000000000000000,0.1816509924233109,48727674.2076234337120622,-3.6308442085070679,0.1875315667876620,1743869821692
fantom,S,3175000000.0000000000000000,0.4968272556805392,72630151.6937008967041485,-1.9369471753234923,0.5032590663798378,1743869821692
arbitrum,ARB,,0.3075284845141849,37589887.6550753228170990,-1.6129071906172173,0.3123092857678486,1743869821692
kucoin-token,KCS,200000000.0000000000000000,9.9990000791955381,763044.3467247504279478,-1.8665714453661823,10.1276829647414556,1743869821692
dexe,DEXE,,14.5543588387036958,6843756.8424008348042578,-1.6925436529937545,14.5841132338178158,1743869821692
eos,EOS,2100000000.0000000000000000,0.7740408247803308,204665237.8992802913408615,-3.9891612086373781,0.7876789689792838,1743869821692
optimism-ethereum,OP,,0.6906367258628748,41436927.4064229574658857,-2.5364684123140047,0.7047939009795185,1743869821692
maker,MKR,1000000.0000000000000000,1319.7309907977870499,24798009.1274394453745674,-1.6612133152507702,1339.9408180815890482,1743869821692
story-protocol,IP,,4.2126227549058454,41565645.4437532178263581,1.6040452120392490,4.2111513762671794,1743869821692
fetch,FET,2630547141.0000000000000000,0.4290823139695365,51391389.2318108432836973,-1.7649682350615044,0.4404426166690381,1743869821692
xinfin-network,XDC,,0.0681935602783810,17348824.9869093127102012,1.4813410007435233,0.0678749716024603,1743869821692
jupiter,JUP,3000000000.0000000000000000,0.3895412867268284,30525484.1562683224406201,-0.4668523896222753,0.3993753520693362,1743869821692
wbnb,WBNB,,607.8023226382089184,6967505.9247991146786683,-0.1297761319785972,,1743869821692
movement,MOVE,10000000000.0000000000000000,0.3715853763793692,29073474.0473363275485684,-2.2157259101166024,0.3780588968185881,1743869821692
worldcoin-org,WLD,,0.7389524158288641,42066369.0172604552586835,-2.3376154828160741,0.7547596852693190,1743869821692
stacks,STX,1818000000.0000000000000000,0.5952489732999100,14874209.7713264782453204,-0.3470764063997309,0.6030549256912509,1743869821692
bonk1,BONK,,0.0000110149467905,46957592.4075025552634865,-1.1324396899563101,0.0000112403882285,1743869821692
usual-usd,USD0,,0.9975669105767913,11013306.9774372448548667,0.0223089258851270,,1743869821692
quant,QNT,14881364.0000000000000000,67.8258253728595301,10327661.1193536913987490,-0.9662436487499352,68.2135470360713095,1743869821692
binaryx-new,FORM,580000000.0000000000000000,2.1051311836553545,12402619.9745368446891992,-1.7866280526293252,,1743869821692
injective-protocol,INJ,100000000.0000000000000000,8.1077012171683428,31509008.7627104435824633,-2.3977328427229082,8.2808803340092076,1743869821692
sei,SEI,,0.1627552272635987,27470693.5516342637879698,-0.5594457141081137,0.1645961904243627,1743869821692
flare,FLR,,0.0130177639175995,13230599.4345027181844558,-2.2199441123710958,0.0133626581849649,1743869821692
the-graph,GRT,,0.0806339487453525,11994035.9947983401048192,-2.5139604981606193,0.0830353936765643,1743869821692
theta,THETA,1000000000.0000000000000000,0.7685649795110045,10606949.1279642988465575,-1.5164951302919544,0.7848743773049209,1743869821692
immutable-x,IMX,2000000000.0000000000000000,0.4278567862812533,24715617.5790351113854995,-6.6258070852395068,0.4418055321295572,1743869821692
tether-gold,XAUT,,3049.5696004980442666,11438551.2966462462617412,0.0705825650204422,3045.8896645516445585,1743869821692
lido-dao,LDO,,0.8241413695080519,23403223.0184237992617936,-1.1350431807929440,0.8354282412157075,1743869821692
paypal-usd,PYUSD,,0.9986896247048628,8176622.3559834154847578,-0.0423668897249277,0.9988854998180445,1743869821692
tezos,XTZ,,0.6524998237183802,5356275.5352932198487497,0.1310480396504593,0.6564722672672684,1743869821692
nexo,NEXO,,1.0416330394826630,3417671.6891369910816602,-4.1259446541079839,1.0681829357503693,1743869821692
the-sandbox,SAND,,0.2605971258753032,11757671.0229060141395455,-1.3215709907068394,0.2634073534361371,1743869821692
